1 54.04
2 54.53
3 54.01
4 54.53
5 53.55
6 54.53
7 55.01
8 55.04
9 55.01
10 55.99
11 55.50
12 55.99
13 55.50
14 55.99
15 55.99
16 55.99
17 55.99
18 55.99
19 55.50
20 56.01
21 55.99
22 55.50
23 54.53
24 56.01
25 55.50
26 57.45
27 56.47
28 55.50
29 56.96
30 55.96
31 56.96
32 55.50
33 56.47
34 56.47
35 56.47
36 56.47
37 56.47
38 55.99
39 56.96
40 55.99
41 56.47
42 55.50
43 57.45
44 56.99
45 56.96
46 56.47
47 57.45
48 57.47
49 55.99
50 56.96
51 57.45
52 57.45
53 57.45
54 57.93
55 58.47
56 57.45
57 56.96
58 56.47
59 56.96
60 56.96
61 56.96
62 56.96
63 57.96
64 56.96
65 57.93
66 56.96
67 56.96
68 56.45
69 57.45
70 56.47
71 56.96
72 57.45
73 56.96
74 57.45
75 56.45
76 56.96
77 57.93
78 56.96
79 57.45
80 57.93
81 57.45
82 57.96
83 57.45
84 57.45
85 58.42
86 57.93
87 57.45
88 57.45
89 57.96
90 57.91
91 57.45
92 56.99
